45	2	1593
45	3	2091
45	0	1911
45	4	2466
45	1	2411
1593	6	2091
2091	5	2466
1911	7	2466
2466	5	2411
66	2	1635
66	3	2045
66	0	1911
66	4	2466
66	1	2411
1635	6	2045
2045	5	2466
1911	7	2466
2466	5	2411
27	2	1517
27	3	2225
27	0	1911
27	4	2466
27	1	2432
1517	6	2225
2225	5	2466
1911	7	2466
2466	5	2432
43	0	1911
43	4	2466
43	1	2411
1911	7	2466
2466	5	2411
30	2	1829
30	0	1910
30	4	2465
30	1	2396
1910	7	2465
2465	5	2396
47	2	1648
47	3	2369
47	0	1911
47	4	2466
47	1	2431
1648	6	2369
2369	5	2466
1911	7	2466
2466	5	2431
1336	2	1813
1336	3	2047
1336	0	1911
1336	4	2466
1336	1	2397
